Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19643,37323,56966,Namkham,MMR015010
 Associate Scrutiny Card (blue),94,23,117,Namkham,MMR015010
 Naturalised Scrutiny Card (green),267,178,445,Namkham,MMR015010
 National Registration Card (3-fold),489,1445,1934,Namkham,MMR015010
 Religious card,93,222,315,Namkham,MMR015010
 Temporary Registration Card (white),55,1223,1278,Namkham,MMR015010
 Foreign Registration Card (FRC),4,26,30,Namkham,MMR015010
 Foreign Passport,13,150,163,Namkham,MMR015010
 None,4577,19334,23911,Namkham,MMR015010
 Child under 10 years,5034,16841,21875,Namkham,MMR015010
 Total,30269,76765,107034,Namkham,MMR015010
