Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9573,63172,72745,Pinlaung,MMR014009
 Associate Scrutiny Card (blue),2,47,49,Pinlaung,MMR014009
 Naturalised Scrutiny Card (green),18,119,137,Pinlaung,MMR014009
 National Registration Card (3-fold),56,784,840,Pinlaung,MMR014009
 Religious card,41,350,391,Pinlaung,MMR014009
 Temporary Registration Card (white),19,51,70,Pinlaung,MMR014009
 Foreign Registration Card (FRC),2,-,2,Pinlaung,MMR014009
 Foreign Passport,1,19,20,Pinlaung,MMR014009
 None,1104,16499,17603,Pinlaung,MMR014009
 Child under 10 years,1813,21377,23190,Pinlaung,MMR014009
 Total,12629,102418,115047,Pinlaung,MMR014009
