Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4896,27159,32055,Saytottara,MMR009011
 Associate Scrutiny Card (blue),-,6,6,Saytottara,MMR009011
 Naturalised Scrutiny Card (green),10,23,33,Saytottara,MMR009011
 National Registration Card (3-fold),44,86,130,Saytottara,MMR009011
 Religious card,35,179,214,Saytottara,MMR009011
 Temporary Registration Card (white),23,21,44,Saytottara,MMR009011
 Foreign Passport,-,6,6,Saytottara,MMR009011
 None,481,5471,5952,Saytottara,MMR009011
 Child under 10 years,1025,8061,9086,Saytottara,MMR009011
 Total,6514,41012,47526,Saytottara,MMR009011
