Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),996,3747,4743,Chiphwe,MMR001005
 Associate Scrutiny Card (blue),-,4,4,Chiphwe,MMR001005
 Naturalised Scrutiny Card (green),-,4,4,Chiphwe,MMR001005
 National Registration Card (3-fold),11,58,69,Chiphwe,MMR001005
 Religious card,1,6,7,Chiphwe,MMR001005
 Temporary Registration Card (white),8,95,103,Chiphwe,MMR001005
 Foreign Registration Card (FRC),-,33,33,Chiphwe,MMR001005
 Foreign Passport,-,11,11,Chiphwe,MMR001005
 None,178,2975,3153,Chiphwe,MMR001005
 Child under 10 years,373,2803,3176,Chiphwe,MMR001005
 Total,1567,9736,11303,Chiphwe,MMR001005
