Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),43174,-,43174,Ahlon,MMR013037
 Associate Scrutiny Card (blue),376,-,376,Ahlon,MMR013037
 Naturalised Scrutiny Card (green),409,-,409,Ahlon,MMR013037
 National Registration Card (3-fold),402,-,402,Ahlon,MMR013037
 Religious card,404,-,404,Ahlon,MMR013037
 Temporary Registration Card (white),409,-,409,Ahlon,MMR013037
 Foreign Registration Card (FRC),51,-,51,Ahlon,MMR013037
 Foreign Passport,162,-,162,Ahlon,MMR013037
 None,4759,-,4759,Ahlon,MMR013037
 Child under 10 years,5336,-,5336,Ahlon,MMR013037
 Total,55482,-,55482,Ahlon,MMR013037
