Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3127,31829,34956,Ngape,MMR009009
 Associate Scrutiny Card (blue),1,6,7,Ngape,MMR009009
 Naturalised Scrutiny Card (green),4,41,45,Ngape,MMR009009
 National Registration Card (3-fold),1,49,50,Ngape,MMR009009
 Religious card,41,148,189,Ngape,MMR009009
 Temporary Registration Card (white),-,34,34,Ngape,MMR009009
 Foreign Passport,-,11,11,Ngape,MMR009009
 None,326,5917,6243,Ngape,MMR009009
 Child under 10 years,565,10042,10607,Ngape,MMR009009
 Total,4065,48077,52142,Ngape,MMR009009
