Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10254,82020,92274,Gangaw,MMR009023
 Associate Scrutiny Card (blue),1,20,21,Gangaw,MMR009023
 Naturalised Scrutiny Card (green),5,87,92,Gangaw,MMR009023
 National Registration Card (3-fold),14,330,344,Gangaw,MMR009023
 Religious card,57,444,501,Gangaw,MMR009023
 Temporary Registration Card (white),3,71,74,Gangaw,MMR009023
 Foreign Registration Card (FRC),-,7,7,Gangaw,MMR009023
 Foreign Passport,-,11,11,Gangaw,MMR009023
 None,1579,15984,17563,Gangaw,MMR009023
 Child under 10 years,2026,20382,22408,Gangaw,MMR009023
 Total,13939,119356,133295,Gangaw,MMR009023
