Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4501,8647,13148,Karli(ST),MMR014014
 Associate Scrutiny Card (blue),8,-,8,Karli(ST),MMR014014
 Naturalised Scrutiny Card (green),16,2,18,Karli(ST),MMR014014
 National Registration Card (3-fold),33,24,57,Karli(ST),MMR014014
 Religious card,25,74,99,Karli(ST),MMR014014
 Temporary Registration Card (white),3,-,3,Karli(ST),MMR014014
 Foreign Passport,4,1,5,Karli(ST),MMR014014
 None,1821,10344,12165,Karli(ST),MMR014014
 Child under 10 years,1368,4709,6077,Karli(ST),MMR014014
 Total,7779,23801,31580,Karli(ST),MMR014014
