Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3488,3313,6801,Shinbwayyan(ST),MMR001004
 Naturalised Scrutiny Card (green),7,-,7,Shinbwayyan(ST),MMR001004
 National Registration Card (3-fold),97,27,124,Shinbwayyan(ST),MMR001004
 Religious card,14,5,19,Shinbwayyan(ST),MMR001004
 Temporary Registration Card (white),46,3,49,Shinbwayyan(ST),MMR001004
 Foreign Registration Card (FRC),2,-,2,Shinbwayyan(ST),MMR001004
 Foreign Passport,1,-,1,Shinbwayyan(ST),MMR001004
 None,698,1004,1702,Shinbwayyan(ST),MMR001004
 Child under 10 years,1064,1684,2748,Shinbwayyan(ST),MMR001004
 Total,5417,6036,11453,Shinbwayyan(ST),MMR001004
