Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3759,41376,45135,Mindon,MMR009014
 Associate Scrutiny Card (blue),-,6,6,Mindon,MMR009014
 Naturalised Scrutiny Card (green),1,30,31,Mindon,MMR009014
 National Registration Card (3-fold),5,111,116,Mindon,MMR009014
 Religious card,39,220,259,Mindon,MMR009014
 Temporary Registration Card (white),2,64,66,Mindon,MMR009014
 Foreign Passport,-,2,2,Mindon,MMR009014
 None,212,4995,5207,Mindon,MMR009014
 Child under 10 years,576,7959,8535,Mindon,MMR009014
 Total,4594,54763,59357,Mindon,MMR009014
