Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),63165,128931,192096,Pakokku,MMR009018
 Associate Scrutiny Card (blue),67,30,97,Pakokku,MMR009018
 Naturalised Scrutiny Card (green),99,240,339,Pakokku,MMR009018
 National Registration Card (3-fold),285,1478,1763,Pakokku,MMR009018
 Religious card,1119,729,1848,Pakokku,MMR009018
 Temporary Registration Card (white),56,207,263,Pakokku,MMR009018
 Foreign Registration Card (FRC),3,3,6,Pakokku,MMR009018
 Foreign Passport,8,67,75,Pakokku,MMR009018
 None,12067,31940,44007,Pakokku,MMR009018
 Child under 10 years,13973,35672,49645,Pakokku,MMR009018
 Total,90842,199297,290139,Pakokku,MMR009018
