Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5653,23768,29421,Mansi,MMR001013
 Associate Scrutiny Card (blue),2,25,27,Mansi,MMR001013
 Naturalised Scrutiny Card (green),5,36,41,Mansi,MMR001013
 National Registration Card (3-fold),22,550,572,Mansi,MMR001013
 Religious card,15,97,112,Mansi,MMR001013
 Temporary Registration Card (white),38,246,284,Mansi,MMR001013
 Foreign Passport,1,5,6,Mansi,MMR001013
 None,678,10727,11405,Mansi,MMR001013
 Child under 10 years,1732,9345,11077,Mansi,MMR001013
 Total,8146,44799,52945,Mansi,MMR001013
