Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),145927,-,145927,Thakayta,MMR013013
 Associate Scrutiny Card (blue),195,-,195,Thakayta,MMR013013
 Naturalised Scrutiny Card (green),1845,-,1845,Thakayta,MMR013013
 National Registration Card (3-fold),7725,-,7725,Thakayta,MMR013013
 Religious card,1677,-,1677,Thakayta,MMR013013
 Temporary Registration Card (white),3379,-,3379,Thakayta,MMR013013
 Foreign Registration Card (FRC),87,-,87,Thakayta,MMR013013
 Foreign Passport,140,-,140,Thakayta,MMR013013
 None,32655,-,32655,Thakayta,MMR013013
 Child under 10 years,26926,-,26926,Thakayta,MMR013013
 Total,220556,-,220556,Thakayta,MMR013013
