Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),69804,117211,187015,Magway,MMR009001
 Associate Scrutiny Card (blue),55,33,88,Magway,MMR009001
 Naturalised Scrutiny Card (green),104,349,453,Magway,MMR009001
 National Registration Card (3-fold),314,3899,4213,Magway,MMR009001
 Religious card,698,982,1680,Magway,MMR009001
 Temporary Registration Card (white),78,120,198,Magway,MMR009001
 Foreign Registration Card (FRC),9,2,11,Magway,MMR009001
 Foreign Passport,35,27,62,Magway,MMR009001
 None,9839,37069,46908,Magway,MMR009001
 Child under 10 years,13102,35517,48619,Magway,MMR009001
 Total,94038,195209,289247,Magway,MMR009001
