Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22625,72910,95535,Kawkareik,MMR003006
 Associate Scrutiny Card (blue),17,59,76,Kawkareik,MMR003006
 Naturalised Scrutiny Card (green),232,417,649,Kawkareik,MMR003006
 National Registration Card (3-fold),617,3648,4265,Kawkareik,MMR003006
 Religious card,182,728,910,Kawkareik,MMR003006
 Temporary Registration Card (white),959,676,1635,Kawkareik,MMR003006
 Foreign Registration Card (FRC),16,3,19,Kawkareik,MMR003006
 Foreign Passport,8,52,60,Kawkareik,MMR003006
 None,10326,56019,66345,Kawkareik,MMR003006
 Child under 10 years,7968,42880,50848,Kawkareik,MMR003006
 Total,42950,177392,220342,Kawkareik,MMR003006
