Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1109,3769,4878,Leshi,MMR005035
 Associate Scrutiny Card (blue),-,9,9,Leshi,MMR005035
 Naturalised Scrutiny Card (green),1,10,11,Leshi,MMR005035
 National Registration Card (3-fold),2,48,50,Leshi,MMR005035
 Religious card,7,4,11,Leshi,MMR005035
 Temporary Registration Card (white),-,8,8,Leshi,MMR005035
 Foreign Registration Card (FRC),-,2,2,Leshi,MMR005035
 Foreign Passport,-,1,1,Leshi,MMR005035
 None,196,1242,1438,Leshi,MMR005035
 Child under 10 years,390,2263,2653,Leshi,MMR005035
 Total,1705,7356,9061,Leshi,MMR005035
