Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),901,8382,9283,Karathuri(ST),MMR006010
 Associate Scrutiny Card (blue),-,11,11,Karathuri(ST),MMR006010
 Naturalised Scrutiny Card (green),1,50,51,Karathuri(ST),MMR006010
 National Registration Card (3-fold),1,219,220,Karathuri(ST),MMR006010
 Religious card,5,32,37,Karathuri(ST),MMR006010
 Temporary Registration Card (white),2,53,55,Karathuri(ST),MMR006010
 Foreign Passport,1,7,8,Karathuri(ST),MMR006010
 None,231,4025,4256,Karathuri(ST),MMR006010
 Child under 10 years,270,4102,4372,Karathuri(ST),MMR006010
 Total,1412,16881,18293,Karathuri(ST),MMR006010
