Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5440,6994,12434,Kholan(ST),MMR014013
 Associate Scrutiny Card (blue),6,6,12,Kholan(ST),MMR014013
 Naturalised Scrutiny Card (green),33,13,46,Kholan(ST),MMR014013
 National Registration Card (3-fold),109,28,137,Kholan(ST),MMR014013
 Religious card,39,30,69,Kholan(ST),MMR014013
 Temporary Registration Card (white),16,54,70,Kholan(ST),MMR014013
 Foreign Passport,1,3,4,Kholan(ST),MMR014013
 None,2006,4521,6527,Kholan(ST),MMR014013
 Child under 10 years,1820,3540,5360,Kholan(ST),MMR014013
 Total,9470,15189,24659,Kholan(ST),MMR014013
