Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5991,26764,32755,Mawlaik,MMR005031
 Associate Scrutiny Card (blue),6,8,14,Mawlaik,MMR005031
 Naturalised Scrutiny Card (green),14,47,61,Mawlaik,MMR005031
 National Registration Card (3-fold),23,69,92,Mawlaik,MMR005031
 Religious card,32,129,161,Mawlaik,MMR005031
 Temporary Registration Card (white),23,88,111,Mawlaik,MMR005031
 Foreign Passport,4,7,11,Mawlaik,MMR005031
 None,1055,6481,7536,Mawlaik,MMR005031
 Child under 10 years,1408,9165,10573,Mawlaik,MMR005031
 Total,8556,42758,51314,Mawlaik,MMR005031
