Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7595,57943,65538,Yekyi,MMR017006
 Associate Scrutiny Card (blue),3,32,35,Yekyi,MMR017006
 Naturalised Scrutiny Card (green),7,71,78,Yekyi,MMR017006
 National Registration Card (3-fold),12,518,530,Yekyi,MMR017006
 Religious card,63,302,365,Yekyi,MMR017006
 Temporary Registration Card (white),13,57,70,Yekyi,MMR017006
 Foreign Registration Card (FRC),1,2,3,Yekyi,MMR017006
 Foreign Passport,-,18,18,Yekyi,MMR017006
 None,1458,18873,20331,Yekyi,MMR017006
 Child under 10 years,1475,16627,18102,Yekyi,MMR017006
 Total,10627,94443,105070,Yekyi,MMR017006
