Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13017,44543,57560,Waingmaw,MMR001002
 Associate Scrutiny Card (blue),23,65,88,Waingmaw,MMR001002
 Naturalised Scrutiny Card (green),51,327,378,Waingmaw,MMR001002
 National Registration Card (3-fold),141,658,799,Waingmaw,MMR001002
 Religious card,65,72,137,Waingmaw,MMR001002
 Temporary Registration Card (white),36,404,440,Waingmaw,MMR001002
 Foreign Registration Card (FRC),8,137,145,Waingmaw,MMR001002
 Foreign Passport,4,16,20,Waingmaw,MMR001002
 None,4106,18436,22542,Waingmaw,MMR001002
 Child under 10 years,4518,19739,24257,Waingmaw,MMR001002
 Total,21969,84397,106366,Waingmaw,MMR001002
