Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10436,23969,34405,Putao,MMR001014
 Associate Scrutiny Card (blue),22,17,39,Putao,MMR001014
 Naturalised Scrutiny Card (green),14,18,32,Putao,MMR001014
 National Registration Card (3-fold),12,156,168,Putao,MMR001014
 Religious card,16,20,36,Putao,MMR001014
 Temporary Registration Card (white),6,272,278,Putao,MMR001014
 Foreign Registration Card (FRC),1,-,1,Putao,MMR001014
 Foreign Passport,9,13,22,Putao,MMR001014
 None,2027,8170,10197,Putao,MMR001014
 Child under 10 years,3435,12462,15897,Putao,MMR001014
 Total,15978,45097,61075,Putao,MMR001014
