Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12015,77333,89348,Naungkhio,MMR015013
 Associate Scrutiny Card (blue),22,49,71,Naungkhio,MMR015013
 Naturalised Scrutiny Card (green),52,399,451,Naungkhio,MMR015013
 National Registration Card (3-fold),216,2140,2356,Naungkhio,MMR015013
 Religious card,63,368,431,Naungkhio,MMR015013
 Temporary Registration Card (white),30,354,384,Naungkhio,MMR015013
 Foreign Registration Card (FRC),33,48,81,Naungkhio,MMR015013
 Foreign Passport,1,96,97,Naungkhio,MMR015013
 None,3070,25677,28747,Naungkhio,MMR015013
 Child under 10 years,3320,24556,27876,Naungkhio,MMR015013
 Total,18822,131020,149842,Naungkhio,MMR015013
