Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11,906,917,Naphang,MMR015006
 Associate Scrutiny Card (blue),-,18,18,Naphang,MMR015006
 Naturalised Scrutiny Card (green),-,86,86,Naphang,MMR015006
 National Registration Card (3-fold),-,3,3,Naphang,MMR015006
 Religious card,-,6,6,Naphang,MMR015006
 Temporary Registration Card (white),-,830,830,Naphang,MMR015006
 Foreign Registration Card (FRC),-,2,2,Naphang,MMR015006
 Foreign Passport,6,30,36,Naphang,MMR015006
 None,782,83345,84127,Naphang,MMR015006
 Child under 10 years,171,29984,30155,Naphang,MMR015006
 Total,970,115210,116180,Naphang,MMR015006
