Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),23562,110362,133924,Hlegu,MMR013004
 Associate Scrutiny Card (blue),21,93,114,Hlegu,MMR013004
 Naturalised Scrutiny Card (green),227,930,1157,Hlegu,MMR013004
 National Registration Card (3-fold),1703,11018,12721,Hlegu,MMR013004
 Religious card,403,1459,1862,Hlegu,MMR013004
 Temporary Registration Card (white),540,1857,2397,Hlegu,MMR013004
 Foreign Registration Card (FRC),2,15,17,Hlegu,MMR013004
 Foreign Passport,11,57,68,Hlegu,MMR013004
 None,7742,60986,68728,Hlegu,MMR013004
 Child under 10 years,5867,43886,49753,Hlegu,MMR013004
 Total,40078,230663,270741,Hlegu,MMR013004
