Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),186799,-,186799,Chanmyatharzi,MMR010004
 Associate Scrutiny Card (blue),282,-,282,Chanmyatharzi,MMR010004
 Naturalised Scrutiny Card (green),650,-,650,Chanmyatharzi,MMR010004
 National Registration Card (3-fold),3126,-,3126,Chanmyatharzi,MMR010004
 Religious card,3451,-,3451,Chanmyatharzi,MMR010004
 Temporary Registration Card (white),688,-,688,Chanmyatharzi,MMR010004
 Foreign Registration Card (FRC),74,-,74,Chanmyatharzi,MMR010004
 Foreign Passport,173,-,173,Chanmyatharzi,MMR010004
 None,46382,-,46382,Chanmyatharzi,MMR010004
 Child under 10 years,42156,-,42156,Chanmyatharzi,MMR010004
 Total,283781,-,283781,Chanmyatharzi,MMR010004
