Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8264,55907,64171,Thayetchaung,MMR006003
 Associate Scrutiny Card (blue),5,35,40,Thayetchaung,MMR006003
 Naturalised Scrutiny Card (green),6,128,134,Thayetchaung,MMR006003
 National Registration Card (3-fold),74,1283,1357,Thayetchaung,MMR006003
 Religious card,39,318,357,Thayetchaung,MMR006003
 Temporary Registration Card (white),22,189,211,Thayetchaung,MMR006003
 Foreign Registration Card (FRC),1,3,4,Thayetchaung,MMR006003
 Foreign Passport,-,34,34,Thayetchaung,MMR006003
 None,931,15586,16517,Thayetchaung,MMR006003
 Child under 10 years,1963,20874,22837,Thayetchaung,MMR006003
 Total,11305,94357,105662,Thayetchaung,MMR006003
