Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6533,72999,79532,Indaw,MMR005021
 Associate Scrutiny Card (blue),17,25,42,Indaw,MMR005021
 Naturalised Scrutiny Card (green),23,104,127,Indaw,MMR005021
 National Registration Card (3-fold),27,242,269,Indaw,MMR005021
 Religious card,23,460,483,Indaw,MMR005021
 Temporary Registration Card (white),1,139,140,Indaw,MMR005021
 Foreign Registration Card (FRC),3,-,3,Indaw,MMR005021
 Foreign Passport,1,12,13,Indaw,MMR005021
 None,619,13753,14372,Indaw,MMR005021
 Child under 10 years,1282,24003,25285,Indaw,MMR005021
 Total,8529,111737,120266,Indaw,MMR005021
