Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),31466,53423,84889,Yenangyoung,MMR009002
 Associate Scrutiny Card (blue),44,19,63,Yenangyoung,MMR009002
 Naturalised Scrutiny Card (green),82,117,199,Yenangyoung,MMR009002
 National Registration Card (3-fold),302,1179,1481,Yenangyoung,MMR009002
 Religious card,450,284,734,Yenangyoung,MMR009002
 Temporary Registration Card (white),27,50,77,Yenangyoung,MMR009002
 Foreign Registration Card (FRC),27,-,27,Yenangyoung,MMR009002
 Foreign Passport,10,71,81,Yenangyoung,MMR009002
 None,6253,17184,23437,Yenangyoung,MMR009002
 Child under 10 years,6459,16780,23239,Yenangyoung,MMR009002
 Total,45120,89107,134227,Yenangyoung,MMR009002
