Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5383,18831,24214,Linkhe`,MMR014018
 Associate Scrutiny Card (blue),-,8,8,Linkhe`,MMR014018
 Naturalised Scrutiny Card (green),2,31,33,Linkhe`,MMR014018
 National Registration Card (3-fold),20,157,177,Linkhe`,MMR014018
 Religious card,50,190,240,Linkhe`,MMR014018
 Temporary Registration Card (white),8,18,26,Linkhe`,MMR014018
 Foreign Registration Card (FRC),1,-,1,Linkhe`,MMR014018
 Foreign Passport,-,5,5,Linkhe`,MMR014018
 None,246,3795,4041,Linkhe`,MMR014018
 Child under 10 years,774,3962,4736,Linkhe`,MMR014018
 Total,6484,26997,33481,Linkhe`,MMR014018
