Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7821,40475,48296,Pindaya,MMR014006
 Associate Scrutiny Card (blue),7,15,22,Pindaya,MMR014006
 Naturalised Scrutiny Card (green),25,173,198,Pindaya,MMR014006
 National Registration Card (3-fold),9,292,301,Pindaya,MMR014006
 Religious card,96,315,411,Pindaya,MMR014006
 Temporary Registration Card (white),24,61,85,Pindaya,MMR014006
 Foreign Registration Card (FRC),1,30,31,Pindaya,MMR014006
 Foreign Passport,15,6,21,Pindaya,MMR014006
 None,1302,13172,14474,Pindaya,MMR014006
 Child under 10 years,1462,14002,15464,Pindaya,MMR014006
 Total,10762,68541,79303,Pindaya,MMR014006
