Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11233,75765,86998,Thegon,MMR008005
 Associate Scrutiny Card (blue),10,14,24,Thegon,MMR008005
 Naturalised Scrutiny Card (green),83,184,267,Thegon,MMR008005
 National Registration Card (3-fold),97,761,858,Thegon,MMR008005
 Religious card,122,427,549,Thegon,MMR008005
 Temporary Registration Card (white),296,1188,1484,Thegon,MMR008005
 Foreign Registration Card (FRC),9,4,13,Thegon,MMR008005
 Foreign Passport,6,12,18,Thegon,MMR008005
 None,2007,22365,24372,Thegon,MMR008005
 Child under 10 years,1889,14485,16374,Thegon,MMR008005
 Total,15752,115205,130957,Thegon,MMR008005
