Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1359,1188,2547,Panlon(ST),MMR015021
 Associate Scrutiny Card (blue),2,2,4,Panlon(ST),MMR015021
 Naturalised Scrutiny Card (green),9,2,11,Panlon(ST),MMR015021
 National Registration Card (3-fold),84,44,128,Panlon(ST),MMR015021
 Religious card,6,12,18,Panlon(ST),MMR015021
 Temporary Registration Card (white),90,27,117,Panlon(ST),MMR015021
 Foreign Registration Card (FRC),1,-,1,Panlon(ST),MMR015021
 Foreign Passport,-,1,1,Panlon(ST),MMR015021
 None,1114,678,1792,Panlon(ST),MMR015021
 Child under 10 years,904,683,1587,Panlon(ST),MMR015021
 Total,3569,2637,6206,Panlon(ST),MMR015021
