Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5835,13834,19669,Tada(ST),MMR013024
 Associate Scrutiny Card (blue),27,13,40,Tada(ST),MMR013024
 Naturalised Scrutiny Card (green),152,414,566,Tada(ST),MMR013024
 National Registration Card (3-fold),98,450,548,Tada(ST),MMR013024
 Religious card,37,58,95,Tada(ST),MMR013024
 Temporary Registration Card (white),22,41,63,Tada(ST),MMR013024
 Foreign Registration Card (FRC),1,3,4,Tada(ST),MMR013024
 Foreign Passport,-,1,1,Tada(ST),MMR013024
 None,1398,6668,8066,Tada(ST),MMR013024
 Child under 10 years,1264,4367,5631,Tada(ST),MMR013024
 Total,8834,25849,34683,Tada(ST),MMR013024
