Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4050,12700,16750,Tagaung,MMR010012
 Associate Scrutiny Card (blue),1,11,12,Tagaung,MMR010012
 Naturalised Scrutiny Card (green),28,77,105,Tagaung,MMR010012
 National Registration Card (3-fold),145,407,552,Tagaung,MMR010012
 Religious card,24,66,90,Tagaung,MMR010012
 Temporary Registration Card (white),11,33,44,Tagaung,MMR010012
 Foreign Passport,-,2,2,Tagaung,MMR010012
 None,2323,8261,10584,Tagaung,MMR010012
 Child under 10 years,1553,6178,7731,Tagaung,MMR010012
 Total,8135,27735,35870,Tagaung,MMR010012
