Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7218,108015,115233,Wetlet,MMR005006
 Associate Scrutiny Card (blue),2,42,44,Wetlet,MMR005006
 Naturalised Scrutiny Card (green),14,365,379,Wetlet,MMR005006
 National Registration Card (3-fold),53,1922,1975,Wetlet,MMR005006
 Religious card,91,877,968,Wetlet,MMR005006
 Temporary Registration Card (white),7,227,234,Wetlet,MMR005006
 Foreign Registration Card (FRC),17,13,30,Wetlet,MMR005006
 Foreign Passport,1,35,36,Wetlet,MMR005006
 None,1952,44981,46933,Wetlet,MMR005006
 Child under 10 years,1459,28925,30384,Wetlet,MMR005006
 Total,10814,185402,196216,Wetlet,MMR005006
