Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4528,15116,19644,Minephyat,MMR016010
 Associate Scrutiny Card (blue),-,2,2,Minephyat,MMR016010
 Naturalised Scrutiny Card (green),11,9,20,Minephyat,MMR016010
 National Registration Card (3-fold),12,33,45,Minephyat,MMR016010
 Religious card,30,53,83,Minephyat,MMR016010
 Temporary Registration Card (white),2,35,37,Minephyat,MMR016010
 Foreign Passport,-,4,4,Minephyat,MMR016010
 None,374,2899,3273,Minephyat,MMR016010
 Child under 10 years,1117,6331,7448,Minephyat,MMR016010
 Total,6074,24482,30556,Minephyat,MMR016010
