Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44357,169466,213823,Phakant,MMR001009
 Associate Scrutiny Card (blue),44,210,254,Phakant,MMR001009
 Naturalised Scrutiny Card (green),173,852,1025,Phakant,MMR001009
 National Registration Card (3-fold),710,2199,2909,Phakant,MMR001009
 Religious card,155,470,625,Phakant,MMR001009
 Temporary Registration Card (white),349,4078,4427,Phakant,MMR001009
 Foreign Registration Card (FRC),5,16,21,Phakant,MMR001009
 Foreign Passport,7,37,44,Phakant,MMR001009
 None,7157,38676,45833,Phakant,MMR001009
 Child under 10 years,7166,36151,43317,Phakant,MMR001009
 Total,60123,252155,312278,Phakant,MMR001009
