Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),105264,48652,153916,Lashio,MMR015001
 Associate Scrutiny Card (blue),358,78,436,Lashio,MMR015001
 Naturalised Scrutiny Card (green),1013,635,1648,Lashio,MMR015001
 National Registration Card (3-fold),5556,9063,14619,Lashio,MMR015001
 Religious card,1023,282,1305,Lashio,MMR015001
 Temporary Registration Card (white),666,1071,1737,Lashio,MMR015001
 Foreign Registration Card (FRC),78,9,87,Lashio,MMR015001
 Foreign Passport,89,57,146,Lashio,MMR015001
 None,31890,55944,87834,Lashio,MMR015001
 Child under 10 years,28398,33279,61677,Lashio,MMR015001
 Total,174335,149070,323405,Lashio,MMR015001
