Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25376,45320,70696,Zeyarthiri,MMR018001
 Associate Scrutiny Card (blue),-,29,29,Zeyarthiri,MMR018001
 Naturalised Scrutiny Card (green),23,142,165,Zeyarthiri,MMR018001
 National Registration Card (3-fold),175,622,797,Zeyarthiri,MMR018001
 Religious card,95,276,371,Zeyarthiri,MMR018001
 Temporary Registration Card (white),49,364,413,Zeyarthiri,MMR018001
 Foreign Registration Card (FRC),1,5,6,Zeyarthiri,MMR018001
 Foreign Passport,-,22,22,Zeyarthiri,MMR018001
 None,2944,14167,17111,Zeyarthiri,MMR018001
 Child under 10 years,6443,15240,21683,Zeyarthiri,MMR018001
 Total,35106,76187,111293,Zeyarthiri,MMR018001
