Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4768,75505,80273,Ngazun,MMR010021
 Associate Scrutiny Card (blue),2,36,38,Ngazun,MMR010021
 Naturalised Scrutiny Card (green),34,174,208,Ngazun,MMR010021
 National Registration Card (3-fold),30,1660,1690,Ngazun,MMR010021
 Religious card,74,535,609,Ngazun,MMR010021
 Temporary Registration Card (white),7,154,161,Ngazun,MMR010021
 Foreign Registration Card (FRC),-,3,3,Ngazun,MMR010021
 Foreign Passport,1,40,41,Ngazun,MMR010021
 None,1023,19743,20766,Ngazun,MMR010021
 Child under 10 years,1141,19303,20444,Ngazun,MMR010021
 Total,7080,117153,124233,Ngazun,MMR010021
