Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9988,83040,93028,Kyaungon,MMR017007
 Associate Scrutiny Card (blue),2,23,25,Kyaungon,MMR017007
 Naturalised Scrutiny Card (green),9,144,153,Kyaungon,MMR017007
 National Registration Card (3-fold),112,463,575,Kyaungon,MMR017007
 Religious card,52,347,399,Kyaungon,MMR017007
 Temporary Registration Card (white),56,126,182,Kyaungon,MMR017007
 Foreign Registration Card (FRC),2,2,4,Kyaungon,MMR017007
 Foreign Passport,7,25,32,Kyaungon,MMR017007
 None,3388,35183,38571,Kyaungon,MMR017007
 Child under 10 years,2436,27630,30066,Kyaungon,MMR017007
 Total,16052,146983,163035,Kyaungon,MMR017007
