Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15454,73644,89098,Kawlin,MMR005024
 Associate Scrutiny Card (blue),98,28,126,Kawlin,MMR005024
 Naturalised Scrutiny Card (green),53,63,116,Kawlin,MMR005024
 National Registration Card (3-fold),33,249,282,Kawlin,MMR005024
 Religious card,144,493,637,Kawlin,MMR005024
 Temporary Registration Card (white),81,247,328,Kawlin,MMR005024
 Foreign Registration Card (FRC),6,-,6,Kawlin,MMR005024
 Foreign Passport,2,15,17,Kawlin,MMR005024
 None,2490,27475,29965,Kawlin,MMR005024
 Child under 10 years,3070,21652,24722,Kawlin,MMR005024
 Total,21431,123866,145297,Kawlin,MMR005024
