Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1293,9829,11122,Minesan(Monsan)(ST),MMR014017
 Associate Scrutiny Card (blue),2,11,13,Minesan(Monsan)(ST),MMR014017
 Naturalised Scrutiny Card (green),14,197,211,Minesan(Monsan)(ST),MMR014017
 National Registration Card (3-fold),5,1492,1497,Minesan(Monsan)(ST),MMR014017
 Religious card,-,146,146,Minesan(Monsan)(ST),MMR014017
 Temporary Registration Card (white),7,274,281,Minesan(Monsan)(ST),MMR014017
 Foreign Registration Card (FRC),-,1,1,Minesan(Monsan)(ST),MMR014017
 Foreign Passport,-,3,3,Minesan(Monsan)(ST),MMR014017
 None,679,9716,10395,Minesan(Monsan)(ST),MMR014017
 Child under 10 years,475,5913,6388,Minesan(Monsan)(ST),MMR014017
 Total,2475,27582,30057,Minesan(Monsan)(ST),MMR014017
