Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2411,15677,18088,Maei(ST),MMR012016
 Associate Scrutiny Card (blue),6,15,21,Maei(ST),MMR012016
 Naturalised Scrutiny Card (green),3,33,36,Maei(ST),MMR012016
 National Registration Card (3-fold),15,121,136,Maei(ST),MMR012016
 Religious card,13,97,110,Maei(ST),MMR012016
 Temporary Registration Card (white),13,62,75,Maei(ST),MMR012016
 Foreign Registration Card (FRC),-,3,3,Maei(ST),MMR012016
 Foreign Passport,1,38,39,Maei(ST),MMR012016
 None,1898,14460,16358,Maei(ST),MMR012016
 Child under 10 years,1075,7963,9038,Maei(ST),MMR012016
 Total,5435,38469,43904,Maei(ST),MMR012016
