Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),20016,80817,100833,Kyaikto,MMR011009
 Associate Scrutiny Card (blue),34,92,126,Kyaikto,MMR011009
 Naturalised Scrutiny Card (green),128,221,349,Kyaikto,MMR011009
 National Registration Card (3-fold),606,1108,1714,Kyaikto,MMR011009
 Religious card,359,1235,1594,Kyaikto,MMR011009
 Temporary Registration Card (white),101,451,552,Kyaikto,MMR011009
 Foreign Registration Card (FRC),1,7,8,Kyaikto,MMR011009
 Foreign Passport,-,38,38,Kyaikto,MMR011009
 None,7452,33568,41020,Kyaikto,MMR011009
 Child under 10 years,6527,31771,38298,Kyaikto,MMR011009
 Total,35224,149308,184532,Kyaikto,MMR011009
