Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25282,120520,145802,Bogale,MMR017024
 Associate Scrutiny Card (blue),47,76,123,Bogale,MMR017024
 Naturalised Scrutiny Card (green),173,248,421,Bogale,MMR017024
 National Registration Card (3-fold),246,1444,1690,Bogale,MMR017024
 Religious card,252,785,1037,Bogale,MMR017024
 Temporary Registration Card (white),51,581,632,Bogale,MMR017024
 Foreign Registration Card (FRC),18,15,33,Bogale,MMR017024
 Foreign Passport,20,55,75,Bogale,MMR017024
 None,10228,91466,101694,Bogale,MMR017024
 Child under 10 years,6907,64251,71158,Bogale,MMR017024
 Total,43224,279441,322665,Bogale,MMR017024
