Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),31369,138287,169656,Taungdwingyi,MMR009004
 Associate Scrutiny Card (blue),85,44,129,Taungdwingyi,MMR009004
 Naturalised Scrutiny Card (green),143,207,350,Taungdwingyi,MMR009004
 National Registration Card (3-fold),177,2394,2571,Taungdwingyi,MMR009004
 Religious card,241,563,804,Taungdwingyi,MMR009004
 Temporary Registration Card (white),45,150,195,Taungdwingyi,MMR009004
 Foreign Registration Card (FRC),14,-,14,Taungdwingyi,MMR009004
 Foreign Passport,19,30,49,Taungdwingyi,MMR009004
 None,6331,34175,40506,Taungdwingyi,MMR009004
 Child under 10 years,7599,37987,45586,Taungdwingyi,MMR009004
 Total,46023,213837,259860,Taungdwingyi,MMR009004
