Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5962,96395,102357,Myothit,MMR009005
 Associate Scrutiny Card (blue),2,26,28,Myothit,MMR009005
 Naturalised Scrutiny Card (green),9,167,176,Myothit,MMR009005
 National Registration Card (3-fold),12,1188,1200,Myothit,MMR009005
 Religious card,33,402,435,Myothit,MMR009005
 Temporary Registration Card (white),23,71,94,Myothit,MMR009005
 Foreign Registration Card (FRC),3,-,3,Myothit,MMR009005
 Foreign Passport,-,20,20,Myothit,MMR009005
 None,681,22397,23078,Myothit,MMR009005
 Child under 10 years,1355,30765,32120,Myothit,MMR009005
 Total,8080,151431,159511,Myothit,MMR009005
