Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),139580,-,139580,Mayangon,MMR013042
 Associate Scrutiny Card (blue),343,-,343,Mayangon,MMR013042
 Naturalised Scrutiny Card (green),893,-,893,Mayangon,MMR013042
 National Registration Card (3-fold),3484,-,3484,Mayangon,MMR013042
 Religious card,2143,-,2143,Mayangon,MMR013042
 Temporary Registration Card (white),1101,-,1101,Mayangon,MMR013042
 Foreign Registration Card (FRC),358,-,358,Mayangon,MMR013042
 Foreign Passport,1274,-,1274,Mayangon,MMR013042
 None,26280,-,26280,Mayangon,MMR013042
 Child under 10 years,22657,-,22657,Mayangon,MMR013042
 Total,198113,-,198113,Mayangon,MMR013042
