Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7601,19377,26978,Hkamti,MMR005033
 Associate Scrutiny Card (blue),2,29,31,Hkamti,MMR005033
 Naturalised Scrutiny Card (green),32,86,118,Hkamti,MMR005033
 National Registration Card (3-fold),27,64,91,Hkamti,MMR005033
 Religious card,48,68,116,Hkamti,MMR005033
 Temporary Registration Card (white),7,126,133,Hkamti,MMR005033
 Foreign Registration Card (FRC),-,2,2,Hkamti,MMR005033
 Foreign Passport,2,8,10,Hkamti,MMR005033
 None,1789,8948,10737,Hkamti,MMR005033
 Child under 10 years,2043,7399,9442,Hkamti,MMR005033
 Total,11551,36107,47658,Hkamti,MMR005033
