Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5530,5405,10935,Laukine,MMR015022
 Associate Scrutiny Card (blue),8,11,19,Laukine,MMR015022
 Naturalised Scrutiny Card (green),147,480,627,Laukine,MMR015022
 National Registration Card (3-fold),5114,21969,27083,Laukine,MMR015022
 Religious card,10,19,29,Laukine,MMR015022
 Temporary Registration Card (white),825,239,1064,Laukine,MMR015022
 Foreign Registration Card (FRC),1457,26,1483,Laukine,MMR015022
 Foreign Passport,351,44,395,Laukine,MMR015022
 None,5855,22863,28718,Laukine,MMR015022
 Child under 10 years,4138,15470,19608,Laukine,MMR015022
 Total,23435,66526,89961,Laukine,MMR015022
