Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15477,141638,157115,Kambalu,MMR005007
 Associate Scrutiny Card (blue),18,65,83,Kambalu,MMR005007
 Naturalised Scrutiny Card (green),46,306,352,Kambalu,MMR005007
 National Registration Card (3-fold),59,717,776,Kambalu,MMR005007
 Religious card,141,1004,1145,Kambalu,MMR005007
 Temporary Registration Card (white),280,2005,2285,Kambalu,MMR005007
 Foreign Registration Card (FRC),-,6,6,Kambalu,MMR005007
 Foreign Passport,6,67,73,Kambalu,MMR005007
 None,4852,73310,78162,Kambalu,MMR005007
 Child under 10 years,4143,51421,55564,Kambalu,MMR005007
 Total,25022,270539,295561,Kambalu,MMR005007
