Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1949,3321,5270,Hsadone(ST),MMR001002
 Associate Scrutiny Card (blue),5,1,6,Hsadone(ST),MMR001002
 Naturalised Scrutiny Card (green),107,49,156,Hsadone(ST),MMR001002
 National Registration Card (3-fold),11,33,44,Hsadone(ST),MMR001002
 Religious card,-,1,1,Hsadone(ST),MMR001002
 Temporary Registration Card (white),41,34,75,Hsadone(ST),MMR001002
 Foreign Registration Card (FRC),20,-,20,Hsadone(ST),MMR001002
 Foreign Passport,113,2,115,Hsadone(ST),MMR001002
 None,547,1794,2341,Hsadone(ST),MMR001002
 Child under 10 years,741,1727,2468,Hsadone(ST),MMR001002
 Total,3534,6962,10496,Hsadone(ST),MMR001002
