Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4526,46310,50836,Yethedaung,MMR012008
 Associate Scrutiny Card (blue),1,35,36,Yethedaung,MMR012008
 Naturalised Scrutiny Card (green),13,75,88,Yethedaung,MMR012008
 National Registration Card (3-fold),18,319,337,Yethedaung,MMR012008
 Religious card,49,314,363,Yethedaung,MMR012008
 Temporary Registration Card (white),17,259,276,Yethedaung,MMR012008
 Foreign Registration Card (FRC),-,2,2,Yethedaung,MMR012008
 Foreign Passport,2,34,36,Yethedaung,MMR012008
 None,1526,35082,36608,Yethedaung,MMR012008
 Child under 10 years,1359,22033,23392,Yethedaung,MMR012008
 Total,7511,104463,111974,Yethedaung,MMR012008
