Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6040,88252,94292,Singaing,MMR010014
 Associate Scrutiny Card (blue),2,40,42,Singaing,MMR010014
 Naturalised Scrutiny Card (green),7,301,308,Singaing,MMR010014
 National Registration Card (3-fold),16,1034,1050,Singaing,MMR010014
 Religious card,57,698,755,Singaing,MMR010014
 Temporary Registration Card (white),17,256,273,Singaing,MMR010014
 Foreign Registration Card (FRC),1,1,2,Singaing,MMR010014
 Foreign Passport,3,105,108,Singaing,MMR010014
 None,983,26385,27368,Singaing,MMR010014
 Child under 10 years,1164,23556,24720,Singaing,MMR010014
 Total,8290,140628,148918,Singaing,MMR010014
