Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15261,16275,31536,Hopin(ST),MMR001007
 Associate Scrutiny Card (blue),62,4,66,Hopin(ST),MMR001007
 Naturalised Scrutiny Card (green),122,11,133,Hopin(ST),MMR001007
 National Registration Card (3-fold),106,91,197,Hopin(ST),MMR001007
 Religious card,133,156,289,Hopin(ST),MMR001007
 Temporary Registration Card (white),137,72,209,Hopin(ST),MMR001007
 Foreign Registration Card (FRC),13,-,13,Hopin(ST),MMR001007
 Foreign Passport,-,1,1,Hopin(ST),MMR001007
 None,3230,3833,7063,Hopin(ST),MMR001007
 Child under 10 years,4288,4899,9187,Hopin(ST),MMR001007
 Total,23352,25342,48694,Hopin(ST),MMR001007
