Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1557,6488,8045,Tontar(ST),MMR016007
 Associate Scrutiny Card (blue),-,1,1,Tontar(ST),MMR016007
 Naturalised Scrutiny Card (green),2,5,7,Tontar(ST),MMR016007
 National Registration Card (3-fold),2,50,52,Tontar(ST),MMR016007
 Religious card,5,4,9,Tontar(ST),MMR016007
 Temporary Registration Card (white),-,11,11,Tontar(ST),MMR016007
 Foreign Passport,-,1,1,Tontar(ST),MMR016007
 None,112,2457,2569,Tontar(ST),MMR016007
 Child under 10 years,387,3602,3989,Tontar(ST),MMR016007
 Total,2065,12619,14684,Tontar(ST),MMR016007
