Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6238,46336,52574,Yanbye,MMR012013
 Associate Scrutiny Card (blue),1,15,16,Yanbye,MMR012013
 Naturalised Scrutiny Card (green),2,45,47,Yanbye,MMR012013
 National Registration Card (3-fold),15,1239,1254,Yanbye,MMR012013
 Religious card,38,362,400,Yanbye,MMR012013
 Temporary Registration Card (white),4,355,359,Yanbye,MMR012013
 Foreign Passport,-,21,21,Yanbye,MMR012013
 None,2012,23431,25443,Yanbye,MMR012013
 Child under 10 years,1564,16213,17777,Yanbye,MMR012013
 Total,9874,88017,97891,Yanbye,MMR012013
