Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9305,67673,76978,Thandwe,MMR012015
 Associate Scrutiny Card (blue),5,27,32,Thandwe,MMR012015
 Naturalised Scrutiny Card (green),38,175,213,Thandwe,MMR012015
 National Registration Card (3-fold),466,2911,3377,Thandwe,MMR012015
 Religious card,50,418,468,Thandwe,MMR012015
 Temporary Registration Card (white),421,1306,1727,Thandwe,MMR012015
 Foreign Registration Card (FRC),-,6,6,Thandwe,MMR012015
 Foreign Passport,1,470,471,Thandwe,MMR012015
 None,2324,27927,30251,Thandwe,MMR012015
 Child under 10 years,1717,18244,19961,Thandwe,MMR012015
 Total,14327,119157,133484,Thandwe,MMR012015
