Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),186915,-,186915,Aungmyetharzan,MMR010001
 Associate Scrutiny Card (blue),506,-,506,Aungmyetharzan,MMR010001
 Naturalised Scrutiny Card (green),1070,-,1070,Aungmyetharzan,MMR010001
 National Registration Card (3-fold),1895,-,1895,Aungmyetharzan,MMR010001
 Religious card,4388,-,4388,Aungmyetharzan,MMR010001
 Temporary Registration Card (white),924,-,924,Aungmyetharzan,MMR010001
 Foreign Registration Card (FRC),161,-,161,Aungmyetharzan,MMR010001
 Foreign Passport,337,-,337,Aungmyetharzan,MMR010001
 None,34999,-,34999,Aungmyetharzan,MMR010001
 Child under 10 years,34584,-,34584,Aungmyetharzan,MMR010001
 Total,265779,-,265779,Aungmyetharzan,MMR010001
