Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),24283,46965,71248,Kyauktan,MMR013024
 Associate Scrutiny Card (blue),94,53,147,Kyauktan,MMR013024
 Naturalised Scrutiny Card (green),1251,2253,3504,Kyauktan,MMR013024
 National Registration Card (3-fold),432,882,1314,Kyauktan,MMR013024
 Religious card,191,499,690,Kyauktan,MMR013024
 Temporary Registration Card (white),135,98,233,Kyauktan,MMR013024
 Foreign Registration Card (FRC),18,3,21,Kyauktan,MMR013024
 Foreign Passport,76,12,88,Kyauktan,MMR013024
 None,10231,23961,34192,Kyauktan,MMR013024
 Child under 10 years,6067,15261,21328,Kyauktan,MMR013024
 Total,42778,89987,132765,Kyauktan,MMR013024
