Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5654,24906,30560,Le`char,MMR014012
 Associate Scrutiny Card (blue),9,6,15,Le`char,MMR014012
 Naturalised Scrutiny Card (green),65,20,85,Le`char,MMR014012
 National Registration Card (3-fold),69,46,115,Le`char,MMR014012
 Religious card,37,136,173,Le`char,MMR014012
 Temporary Registration Card (white),2,2,4,Le`char,MMR014012
 Foreign Registration Card (FRC),1,1,2,Le`char,MMR014012
 Foreign Passport,-,1,1,Le`char,MMR014012
 None,976,7926,8902,Le`char,MMR014012
 Child under 10 years,1188,7786,8974,Le`char,MMR014012
 Total,8001,40830,48831,Le`char,MMR014012
