Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),87877,4134,92011,Dagon Myothit(East),MMR013020
 Associate Scrutiny Card (blue),90,2,92,Dagon Myothit(East),MMR013020
 Naturalised Scrutiny Card (green),500,95,595,Dagon Myothit(East),MMR013020
 National Registration Card (3-fold),4148,360,4508,Dagon Myothit(East),MMR013020
 Religious card,1256,199,1455,Dagon Myothit(East),MMR013020
 Temporary Registration Card (white),1996,98,2094,Dagon Myothit(East),MMR013020
 Foreign Registration Card (FRC),143,-,143,Dagon Myothit(East),MMR013020
 Foreign Passport,50,-,50,Dagon Myothit(East),MMR013020
 None,36492,2734,39226,Dagon Myothit(East),MMR013020
 Child under 10 years,23692,1762,25454,Dagon Myothit(East),MMR013020
 Total,156244,9384,165628,Dagon Myothit(East),MMR013020
